Node,Depth,Value,Alpha,Beta
A1,2,99,99,Infinity
A5,3,68,99,Infinity
A1,2,99,99,Infinity
B5,3,73,99,Infinity
A1,2,99,99,Infinity
C5,3,66,99,Infinity
A1,2,99,99,Infinity
D5,3,64,99,Infinity
A1,2,99,99,Infinity
E5,3,53,99,Infinity
A1,2,99,99,Infinity
B3,1,99,63,99
B1,2,-Infinity,63,99
A1,3,67,63,99
B1,2,67,67,99
E1,3,77,67,99
B1,2,77,77,99
A2,3,67,77,99
B1,2,77,77,99
B2,3,91,77,99
B1,2,91,91,99
A3,3,75,91,99
B1,2,91,91,99
C3,3,78,91,99
B1,2,91,91,99
E3,3,50,91,99
B1,2,91,91,99
A4,3,67,91,99
B1,2,91,91,99
B4,3,79,91,99
B1,2,91,91,99
E4,3,49,91,99
B1,2,91,91,99
A5,3,72,91,99
B1,2,91,91,99
B5,3,77,91,99
B1,2,91,91,99
C5,3,70,91,99
B1,2,91,91,99
D5,3,68,91,99
B1,2,91,91,99
E5,3,57,91,99
B1,2,91,91,99
B3,1,91,63,91
E1,2,-Infinity,63,91
A1,3,53,63,91
E1,2,53,63,91
B1,3,49,63,91
E1,2,53,63,91
A2,3,53,63,91
E1,2,53,63,91
B2,3,45,63,91
E1,2,53,63,91
A3,3,61,63,91
E1,2,61,63,91
C3,3,64,63,91
E1,2,64,64,91
E3,3,36,64,91
E1,2,64,64,91
A4,3,53,64,91
E1,2,64,64,91
B4,3,65,64,91
E1,2,65,65,91
E4,3,35,65,91
E1,2,65,65,91
A5,3,58,65,91
E1,2,65,65,91
B5,3,63,65,91
E1,2,65,65,91
C5,3,56,65,91
E1,2,65,65,91
D5,3,54,65,91
E1,2,65,65,91
E5,3,43,65,91
E1,2,65,65,91
B3,1,65,63,65
A2,2,-Infinity,63,65
A1,3,63,63,65
A2,2,63,63,65
B1,3,59,63,65
A2,2,63,63,65
E1,3,73,63,65
A2,2,73,63,65
B3,1,65,63,65
B2,2,-Infinity,63,65
A1,3,71,63,65
B2,2,71,63,65
B3,1,65,63,65
A3,2,-Infinity,63,65
A1,3,55,63,65
A3,2,55,63,65
B1,3,51,63,65
A3,2,55,63,65
E1,3,65,63,65
A3,2,65,63,65
B3,1,65,63,65
C3,2,-Infinity,63,65
A1,3,-26,63,65
C3,2,-26,63,65
B1,3,-30,63,65
C3,2,-26,63,65
E1,3,-16,63,65
C3,2,-16,63,65
A2,3,-26,63,65
C3,2,-16,63,65
B2,3,-34,63,65
C3,2,-16,63,65
A3,3,-18,63,65
C3,2,-16,63,65
E3,3,-43,63,65
C3,2,-16,63,65
A4,3,-26,63,65
C3,2,-16,63,65
B4,3,-34,63,65
C3,2,-16,63,65
E4,3,-44,63,65
C3,2,-16,63,65
A5,3,-21,63,65
C3,2,-16,63,65
B5,3,-16,63,65
C3,2,-16,63,65
C5,3,-23,63,65
C3,2,-16,63,65
D5,3,-25,63,65
C3,2,-16,63,65
E5,3,-36,63,65
C3,2,-16,63,65
B3,1,-16,63,65
root,0,63,63,Infinity
C3,1,Infinity,63,Infinity
A1,2,-Infinity,63,Infinity
B1,3,82,63,Infinity
A1,2,82,82,Infinity
E1,3,56,82,Infinity
A1,2,82,82,Infinity
A2,3,46,82,Infinity
A1,2,82,82,Infinity
B2,3,38,82,Infinity
A1,2,82,82,Infinity
A3,3,54,82,Infinity
A1,2,82,82,Infinity
B3,3,74,82,Infinity
A1,2,82,82,Infinity
E3,3,27,82,Infinity
A1,2,82,82,Infinity
A4,3,46,82,Infinity
A1,2,82,82,Infinity
B4,3,38,82,Infinity
A1,2,82,82,Infinity
E4,3,28,82,Infinity
A1,2,82,82,Infinity
A5,3,51,82,Infinity
A1,2,82,82,Infinity
B5,3,56,82,Infinity
A1,2,82,82,Infinity
C5,3,49,82,Infinity
A1,2,82,82,Infinity
D5,3,47,82,Infinity
A1,2,82,82,Infinity
E5,3,36,82,Infinity
A1,2,82,82,Infinity
C3,1,82,63,82
B1,2,-Infinity,63,82
A1,3,50,63,82
B1,2,50,63,82
E1,3,60,63,82
B1,2,60,63,82
A2,3,50,63,82
B1,2,60,63,82
B2,3,74,63,82
B1,2,74,74,82
A3,3,58,74,82
B1,2,74,74,82
B3,3,78,74,82
B1,2,78,78,82
E3,3,31,78,82
B1,2,78,78,82
A4,3,50,78,82
B1,2,78,78,82
B4,3,42,78,82
B1,2,78,78,82
E4,3,32,78,82
B1,2,78,78,82
A5,3,55,78,82
B1,2,78,78,82
B5,3,60,78,82
B1,2,78,78,82
C5,3,53,78,82
B1,2,78,78,82
D5,3,51,78,82
B1,2,78,78,82
E5,3,40,78,82
B1,2,78,78,82
C3,1,78,63,78
E1,2,-Infinity,63,78
A1,3,36,63,78
E1,2,36,63,78
B1,3,32,63,78
E1,2,36,63,78
A2,3,36,63,78
E1,2,36,63,78
B2,3,28,63,78
E1,2,36,63,78
A3,3,44,63,78
E1,2,44,63,78
B3,3,64,63,78
E1,2,64,64,78
E3,3,17,64,78
E1,2,64,64,78
A4,3,36,64,78
E1,2,64,64,78
B4,3,28,64,78
E1,2,64,64,78
E4,3,18,64,78
E1,2,64,64,78
A5,3,41,64,78
E1,2,64,64,78
B5,3,46,64,78
E1,2,64,64,78
C5,3,39,64,78
E1,2,64,64,78
D5,3,37,64,78
E1,2,64,64,78
E5,3,26,64,78
E1,2,64,64,78
C3,1,64,63,64
A2,2,-Infinity,63,64
A1,3,46,63,64
A2,2,46,63,64
B1,3,42,63,64
A2,2,46,63,64
E1,3,56,63,64
A2,2,56,63,64
B2,3,78,63,64
A2,2,78,63,64
C3,1,64,63,64
B2,2,-Infinity,63,64
A1,3,54,63,64
B2,2,54,63,64
B1,3,74,63,64
B2,2,74,63,64
C3,1,64,63,64
A3,2,-Infinity,63,64
A1,3,38,63,64
A3,2,38,63,64
B1,3,34,63,64
A3,2,38,63,64
E1,3,48,63,64
A3,2,48,63,64
A2,3,38,63,64
A3,2,48,63,64
B2,3,30,63,64
A3,2,48,63,64
B3,3,122,63,64
A3,2,122,63,64
C3,1,64,63,64
B3,2,-Infinity,63,64
A1,3,18,63,64
B3,2,18,63,64
B1,3,14,63,64
B3,2,18,63,64
E1,3,28,63,64
B3,2,28,63,64
A2,3,18,63,64
B3,2,28,63,64
B2,3,106,63,64
B3,2,106,63,64
C3,1,64,63,64
E3,2,-Infinity,63,64
A1,3,65,63,64
E3,2,65,63,64
C3,1,64,63,64
A4,2,-Infinity,63,64
A1,3,46,63,64
A4,2,46,63,64
B1,3,42,63,64
A4,2,46,63,64
E1,3,56,63,64
A4,2,56,63,64
A2,3,46,63,64
A4,2,56,63,64
B2,3,38,63,64
A4,2,56,63,64
A3,3,54,63,64
A4,2,56,63,64
B3,3,74,63,64
A4,2,74,63,64
C3,1,64,63,64
B4,2,-Infinity,63,64
A1,3,54,63,64
B4,2,54,63,64
B1,3,50,63,64
B4,2,54,63,64
E1,3,64,63,64
B4,2,64,63,64
C3,1,64,63,64
E4,2,-Infinity,63,64
A1,3,64,63,64
E4,2,64,63,64
C3,1,64,63,64
A5,2,-Infinity,63,64
A1,3,41,63,64
A5,2,41,63,64
B1,3,37,63,64
A5,2,41,63,64
E1,3,51,63,64
A5,2,51,63,64
A2,3,41,63,64
A5,2,51,63,64
B2,3,33,63,64
A5,2,51,63,64
A3,3,49,63,64
A5,2,51,63,64
B3,3,69,63,64
A5,2,69,63,64
C3,1,64,63,64
B5,2,-Infinity,63,64
A1,3,36,63,64
B5,2,36,63,64
B1,3,32,63,64
B5,2,36,63,64
E1,3,46,63,64
B5,2,46,63,64
A2,3,36,63,64
B5,2,46,63,64
B2,3,28,63,64
B5,2,46,63,64
A3,3,44,63,64
B5,2,46,63,64
B3,3,64,63,64
B5,2,64,63,64
C3,1,64,63,64
C5,2,-Infinity,63,64
A1,3,43,63,64
C5,2,43,63,64
B1,3,39,63,64
C5,2,43,63,64
